configuration,episode,goal_angle,cumulative_reward,success,episode_length,final_absolute_error,epsilon_used,epsilon_after_decay,mean_loss,replay_size,optimization_steps,episode_wall_clock_seconds,cumulative_wall_clock_seconds,terminated,truncated
config_b,1,0.2825395868172176,-125.7947279959917,False,150,1.1806501121507749,1.0,0.985,,150,0,0.28303839499994865,0.2830777230001331,False,True
config_b,2,-0.5670638717221037,-28.45518543301147,True,146,0.021772402130736057,0.985,0.970225,,296,0,0.27678622199982783,0.5607734649997838,True,False
config_b,3,-0.4439785767418311,-134.30872029066086,False,150,1.2718358221519936,0.970225,0.955671625,,446,0,0.28910805600025924,0.8498829629997999,False,True
config_b,4,0.3143637356043312,-46.38044364005327,False,150,0.1805313450593227,0.955671625,0.941336550625,0.0655096044485486,596,97,0.37229559299976245,1.2221467489998759,False,True
config_b,5,0.1487023394431196,16.58958457810804,True,16,0.034273897268655304,0.941336550625,0.927216502365625,0.01683600315300282,612,113,0.044824650999998994,1.2669791409998652,True,False
config_b,6,-0.43734299868543225,15.56889407709241,True,34,0.022796891789396145,0.927216502365625,0.9133082548301407,0.07180562470217838,646,147,0.09566135800014308,1.3626383750001878,True,False
config_b,7,-0.35933952624810694,6.537759030913002,True,49,0.015205183000657485,0.9133082548301407,0.8996086310076885,0.08112194920338843,695,196,0.13864245099966865,1.5012767500002155,True,False
config_b,8,-0.6752556038969942,-78.99112147837877,False,150,0.6190130691105381,0.8996086310076885,0.8861145015425732,0.08243416740559041,845,346,0.4302897969996593,1.9315582549997998,False,True
config_b,9,-0.0025225670898392227,20.3592261871323,True,12,0.005136953777239029,0.8861145015425732,0.8728227840194346,0.05307133076712489,857,358,0.0342854929999703,1.9658602529998461,True,False
config_b,10,0.2209207620258753,-47.133092453889546,False,150,1.2453403312373232,0.8728227840194346,0.8597304422591431,0.07574168700414399,1007,508,0.44237569599999915,2.4082308609999927,False,True
config_b,11,0.30019662480847953,-56.351155899837615,False,150,0.6154554398561978,0.8597304422591431,0.8468344856252559,0.07014881913239757,1157,658,0.4403227420002622,2.8485528330002126,False,True
config_b,12,-0.5721356003397541,-25.39231191026047,False,150,0.2248968436317036,0.8468344856252559,0.834131968340877,0.0650930498385181,1307,808,0.4392992729999605,3.287856753000142,False,True
config_b,13,-0.24911341327952408,15.055075082927942,True,21,0.03654687722818206,0.834131968340877,0.8216199888157638,0.043294078714790796,1328,829,0.06102679600007832,3.3488912799998616,True,False
config_b,14,-0.5923313369919598,-26.34920940566808,True,112,0.032713934548696644,0.8216199888157638,0.8092956889835273,0.06714118645010915,1440,941,0.32376711400002023,3.672653025999807,True,False
config_b,15,-0.0910043705343,-34.291533527290426,False,150,0.01846929728407086,0.8092956889835273,0.7971562536487744,0.08236468837286036,1590,1091,0.43556606100037243,4.108220428000095,False,True
config_b,16,-0.5211148741827851,-0.30898328364710537,True,102,0.004212427171086719,0.7971562536487744,0.7851989098440427,0.05618526217728561,1692,1193,0.29460547799999404,4.402829511000164,True,False
config_b,17,-0.3109303372948684,-22.26859524913598,False,150,0.02689638958338275,0.7851989098440427,0.773420926196382,0.05919013829901815,1842,1343,0.43525736199990206,4.838085470999886,False,True
config_b,18,0.3929539928533785,10.415353175904603,True,67,0.03715407111309571,0.773420926196382,0.7618196123034363,0.047343267155672185,1909,1410,0.19176190700000006,5.029851724999844,True,False
config_b,19,-0.4403305186691821,-7.919975306664131,True,104,0.03957634854292813,0.7618196123034363,0.7503923181188847,0.08276526825144313,2013,1514,0.2999316860000363,5.329784602000018,True,False
config_b,20,0.5695238975449919,-12.65418361411431,False,150,0.10211092208647388,0.7503923181188847,0.7391364333471014,0.06281731626018881,2163,1664,0.43569406000005984,5.765477321000162,False,True
config_b,21,-0.7963080067314675,-62.93320366241967,False,150,0.19454171726340064,0.7391364333471014,0.7280493868468949,0.06856769489124417,2313,1814,0.4344042560001071,6.199885131999963,False,True
config_b,22,0.5097845826490548,13.851297030597927,True,40,0.02193819979159578,0.7280493868468949,0.7171286460441915,0.07445599127095193,2353,1854,0.11488034100011646,6.3147702299997945,True,False
config_b,23,0.4831343256743761,10.891156232496723,True,29,0.004737682224013051,0.7171286460441915,0.7063717163535286,0.07422675963105826,2382,1883,0.08360922400015625,6.398345182999947,True,False
config_b,24,0.6902857964855127,-2.957629209919837,False,150,0.5358985772278657,0.7063717163535286,0.6957761406082257,0.06766753206650417,2532,2033,0.4406770690002304,6.839054210000086,False,True
config_b,25,0.025334351051786497,28.92870326056145,True,97,0.023386840200772217,0.6957761406082257,0.6853394984991023,0.06771482870021124,2629,2130,0.2807197920001272,7.119777797000097,True,False
config_b,26,-0.2450664976924909,14.052571772038936,True,30,0.013859741291806393,0.6853394984991023,0.6750594060216157,0.06739512706796329,2659,2160,0.08694192100028886,7.207963545999974,True,False
config_b,27,0.14513155663250255,15.954756124643609,True,54,0.023554195098247577,0.6750594060216157,0.6649335149312915,0.04948728998985003,2713,2214,0.15671707599994988,7.364681543000188,True,False
config_b,28,-0.13954441773992898,16.62525448235683,True,68,0.03802272226361525,0.6649335149312915,0.6549595122073221,0.06468053855111494,2781,2282,0.19905232099972636,7.56373458500002,True,False
config_b,29,-0.10585193886517108,17.017557215690612,True,16,0.027096801124783396,0.6549595122073221,0.6451351195242122,0.06003372196573764,2797,2298,0.04720215099996494,7.610941242000081,True,False
