optimization_step,episode,loss
1,4,0.2174297571182251
2,4,0.19877691566944122
3,4,0.15821924805641174
4,4,0.3597489595413208
5,4,0.17636793851852417
6,4,0.16506050527095795
7,4,0.1509241759777069
8,4,0.17022165656089783
9,4,0.09944867342710495
10,4,0.09331423789262772
11,4,0.11692489683628082
12,4,0.08103242516517639
13,4,0.0942654088139534
14,4,0.08838028460741043
15,4,0.08760861307382584
16,4,0.05810629948973656
17,4,0.05028664320707321
18,4,0.07083418220281601
19,4,0.0850028246641159
20,4,0.05195756256580353
21,4,0.03070165030658245
22,4,0.04433601349592209
23,4,0.032573893666267395
24,4,0.21135099232196808
25,4,0.2292751520872116
26,4,0.09333750605583191
27,4,0.06734439730644226
28,4,0.06560312211513519
29,4,0.19134683907032013
30,4,0.22352227568626404
31,4,0.2482440173625946
32,4,0.05430470034480095
33,4,0.038127243518829346
34,4,0.03624233976006508
35,4,0.029734263196587563
36,4,0.049412596970796585
37,4,0.0453236922621727
38,4,0.025567302480340004
39,4,0.010369491763412952
40,4,0.03724656626582146
41,4,0.009926872327923775
42,4,0.0451732836663723
43,4,0.017772018909454346
44,4,0.01926378905773163
45,4,0.007816571742296219
46,4,0.03387753292918205
47,4,0.027190109714865685
48,4,0.02053297869861126
49,4,0.017439087852835655
50,4,0.038166213780641556
51,4,0.03687429055571556
52,4,0.023338887840509415
53,4,0.0422743558883667
54,4,0.015344757586717606
55,4,0.20733687281608582
56,4,0.06588451564311981
57,4,0.024290211498737335
58,4,0.025693845003843307
59,4,0.023508291691541672
60,4,0.020948458462953568
61,4,0.02507917582988739
62,4,0.020184384658932686
63,4,0.03277610242366791
64,4,0.03921046108007431
65,4,0.04259499907493591
66,4,0.01441919058561325
67,4,0.0282321497797966
68,4,0.02032439596951008
69,4,0.03792917728424072
70,4,0.029861994087696075
71,4,0.02698133885860443
72,4,0.045236337929964066
73,4,0.043036773800849915
74,4,0.009778392501175404
75,4,0.03609561175107956
76,4,0.011925403028726578
77,4,0.0344468429684639
78,4,0.010134002193808556
79,4,0.02596043422818184
80,4,0.01805204339325428
81,4,0.012803148478269577
82,4,0.010067637078464031
83,4,0.010613808408379555
84,4,0.017861634492874146
85,4,0.009438395500183105
86,4,0.026010220870375633
87,4,0.029580291360616684
88,4,0.009123710915446281
89,4,0.015429703518748283
90,4,0.025967154651880264
91,4,0.1704782247543335
92,4,0.1728946566581726
93,4,0.009387379512190819
94,4,0.00243619317188859
95,4,0.027271350845694542
96,4,0.00867066252976656
97,4,0.18361003696918488
98,5,0.026475973427295685
99,5,0.015094317495822906
100,5,0.026066148653626442
101,5,0.016291428357362747
102,5,0.016852550208568573
103,5,0.02015114203095436
104,5,0.004193287808448076
105,5,0.01546644326299429
106,5,0.01562642864882946
107,5,0.027386166155338287
108,5,0.01504339836537838
109,5,0.022753994911909103
110,5,0.0033315683249384165
111,5,0.025004956871271133
112,5,0.010061481036245823
113,5,0.009576764889061451
114,6,0.022123172879219055
115,6,0.0035463403910398483
116,6,0.018596408888697624
117,6,0.014785682782530785
118,6,0.023094331845641136
119,6,0.1907500922679901
120,6,0.028936870396137238
121,6,0.02764621190726757
122,6,0.01989610306918621
123,6,0.17409032583236694
124,6,0.014782757498323917
125,6,0.024663368239998817
126,6,0.014404425397515297
127,6,0.030147859826683998
128,6,0.1696760356426239
129,6,0.18588678538799286
130,6,0.17258737981319427
131,6,0.01512980181723833
132,6,0.04073694720864296
133,6,0.030898254364728928
134,6,0.014919695444405079
135,6,0.1913689225912094
136,6,0.008113366551697254
137,6,0.1946437805891037
138,6,0.012037613429129124
139,6,0.17815427482128143
140,6,0.011970551684498787
141,6,0.1611602008342743
142,6,0.015249690040946007
143,6,0.024548819288611412
144,6,0.3521652817726135
145,6,0.015759866684675217
146,6,0.017655763775110245
147,6,0.02126425690948963
148,7,0.022635793313384056
149,7,0.025682173669338226
150,7,0.024596810340881348
151,7,0.19720181822776794
152,7,0.027687381953001022
153,7,0.012720420956611633
154,7,0.01685047149658203
155,7,0.02164873667061329
156,7,0.1764262467622757
157,7,0.0326501801609993
158,7,0.017199289053678513
159,7,0.02747691422700882
160,7,0.033374082297086716
161,7,0.010984772816300392
162,7,0.011208392679691315
163,7,0.19322970509529114
164,7,0.016782933846116066
165,7,0.022508887574076653
166,7,0.01884685643017292
167,7,0.03640281781554222
168,7,0.1705329269170761
169,7,0.017615286633372307
170,7,0.013595920987427235
171,7,0.03562279790639877
172,7,0.17320753633975983
173,7,0.1823645681142807
174,7,0.03600709140300751
175,7,0.026434622704982758
176,7,0.3447023034095764
177,7,0.3403884172439575
178,7,0.005880215670913458
179,7,0.02638520672917366
180,7,0.02925708517432213
181,7,0.18655048310756683
182,7,0.3336833715438843
183,7,0.023580290377140045
184,7,0.19166740775108337
185,7,0.034222330898046494
186,7,0.021325726062059402
187,7,0.021230138838291168
188,7,0.022024162113666534
189,7,0.026711953803896904
190,7,0.17334119975566864
191,7,0.1744489073753357
192,7,0.1879960149526596
193,7,0.011322124861180782
194,7,0.021599188446998596
195,7,0.18183206021785736
196,7,0.015331486240029335
197,8,0.04276135563850403
198,8,0.5198015570640564
199,8,0.014058208093047142
200,8,0.17736855149269104
201,8,0.022892223671078682
202,8,0.025731977075338364
203,8,0.020327575504779816
204,8,0.19440366327762604
205,8,0.1811651736497879
206,8,0.3176344037055969
207,8,0.030157379806041718
208,8,0.012478080578148365
209,8,0.02094569429755211
210,8,0.025296201929450035
211,8,0.04087788239121437
212,8,0.02239399030804634
213,8,0.17171131074428558
214,8,0.1800183206796646
215,8,0.024892225861549377
216,8,0.17850174009799957
217,8,0.026580598205327988
218,8,0.18478421866893768
219,8,0.023628339171409607
220,8,0.025476299226284027
221,8,0.17350147664546967
222,8,0.019379116594791412
223,8,0.16866379976272583
224,8,0.17920427024364471
225,8,0.018337275832891464
226,8,0.01978941820561886
227,8,0.022011399269104004
228,8,0.33802497386932373
229,8,0.03264015167951584
230,8,0.02994289994239807
231,8,0.036605559289455414
232,8,0.019139913842082024
233,8,0.0171599593013525
234,8,0.018949538469314575
235,8,0.024711210280656815
236,8,0.3334454596042633
237,8,0.1876247227191925
238,8,0.0077023617923259735
239,8,0.01985747367143631
240,8,0.19633252918720245
241,8,0.17421799898147583
242,8,0.019741564989089966
243,8,0.036779534071683884
244,8,0.19789639115333557
245,8,0.021420203149318695
246,8,0.027770642191171646
247,8,0.012965276837348938
248,8,0.019892631098628044
249,8,0.024291394278407097
250,8,0.01582617685198784
251,8,0.3624292016029358
252,8,0.23674121499061584
253,8,0.2985435128211975
254,8,0.2655859887599945
255,8,0.2726389467716217
256,8,0.052557267248630524
257,8,0.06432358920574188
258,8,0.10847431421279907
259,8,0.09316352754831314
260,8,0.27017664909362793
261,8,0.06859659403562546
262,8,0.05828036740422249
263,8,0.10786885023117065
264,8,0.058421798050403595
265,8,0.022053025662899017
266,8,0.042942628264427185
267,8,0.03243468701839447
268,8,0.021364592015743256
269,8,0.3770023584365845
270,8,0.02145625278353691
271,8,0.20250831544399261
272,8,0.0361948199570179
273,8,0.038645897060632706
274,8,0.20306335389614105
275,8,0.21686702966690063
276,8,0.060497723519802094
277,8,0.0275163184851408
278,8,0.028249258175492287
279,8,0.023050792515277863
280,8,0.011747553944587708
281,8,0.03353263437747955
282,8,0.027833955362439156
283,8,0.01847306825220585
284,8,0.05370284616947174
285,8,0.03404742479324341
286,8,0.031171992421150208
287,8,0.040619127452373505
288,8,0.01915159821510315
289,8,0.02871561236679554
290,8,0.013226189650595188
291,8,0.04977082088589668
292,8,0.01918032206594944
293,8,0.16831322014331818
294,8,0.18059048056602478
295,8,0.018682267516851425
296,8,0.17946098744869232
297,8,0.1929745078086853
298,8,0.026780689135193825
299,8,0.1627442091703415
300,8,0.03625599294900894
301,8,0.022797269746661186
302,8,0.034988269209861755
303,8,0.01844830811023712
304,8,0.020161453634500504
305,8,0.1814204454421997
306,8,0.1825590580701828
307,8,0.01418093591928482
308,8,0.010984870605170727
309,8,0.016670923680067062
310,8,0.018042638897895813
311,8,0.18556846678256989
312,8,0.0195346437394619
313,8,0.16654163599014282
314,8,0.03088710457086563
315,8,0.010898963548243046
316,8,0.028618797659873962
317,8,0.008997025899589062
318,8,0.04514754191040993
319,8,0.010039647109806538
320,8,0.013217130675911903
321,8,0.009680621325969696
322,8,0.03659471496939659
323,8,0.015277068130671978
324,8,0.007711887359619141
325,8,0.008408634923398495
326,8,0.16601687669754028
327,8,0.03169971704483032
328,8,0.019105907529592514
329,8,0.3378170132637024
330,8,0.0068802922032773495
331,8,0.017860140651464462
332,8,0.17495277523994446
333,8,0.019079778343439102
334,8,0.16985251009464264
335,8,0.017627252265810966
336,8,0.17313852906227112
337,8,0.022362731397151947
338,8,0.009332429617643356
339,8,0.01426880806684494
340,8,0.03297951817512512
341,8,0.011539755389094353
342,8,0.02030845731496811
343,8,0.03443888947367668
344,8,0.021795285865664482
345,8,0.014965224079787731
346,8,0.0153884906321764
347,9,0.030661527067422867
348,9,0.19649389386177063
349,9,0.021259771659970284
350,9,0.032079726457595825
351,9,0.02204706147313118
352,9,0.019510947167873383
353,9,0.16768807172775269
354,9,0.02905772440135479
355,9,0.02979571744799614
356,9,0.02444637008011341
357,9,0.047694697976112366
358,9,0.016120459884405136
359,10,0.02593027427792549
360,10,0.025844277814030647
361,10,0.01729857735335827
362,10,0.1750469207763672
363,10,0.013655520975589752
364,10,0.01771998219192028
365,10,0.01583896391093731
366,10,0.013057057745754719
367,10,0.027560682967305183
368,10,0.0394572913646698
369,10,0.031208086758852005
370,10,0.17012645304203033
371,10,0.026415066793560982
372,10,0.17477165162563324
373,10,0.030562780797481537
374,10,0.03342381864786148
375,10,0.1796870231628418
376,10,0.02404100075364113
377,10,0.5056277513504028
378,10,0.019082607701420784
379,10,0.027552438899874687
380,10,0.019971827045083046
381,10,0.1960144191980362
382,10,0.01938582770526409
383,10,0.20026974380016327
384,10,0.018128961324691772
385,10,0.003857456613332033
386,10,0.0297514908015728
387,10,0.02461712434887886
388,10,0.16314470767974854
389,10,0.020695773884654045
390,10,0.33707720041275024
391,10,0.18546397984027863
392,10,0.025038044899702072
393,10,0.025226635858416557
394,10,0.02743617072701454
395,10,0.041917070746421814
396,10,0.019974714145064354
397,10,0.007271210663020611
398,10,0.030270205810666084
399,10,0.195778027176857
400,10,0.014400403015315533
401,10,0.015375614166259766
402,10,0.017167365178465843
403,10,0.1716054528951645
404,10,0.034434907138347626
405,10,0.00945308431982994
406,10,0.0226626954972744
407,10,0.012932660058140755
408,10,0.034362129867076874
409,10,0.18697509169578552
410,10,0.16993889212608337
411,10,0.029025552794337273
412,10,0.016708537936210632
413,10,0.011916366405785084
414,10,0.05494110286235809
415,10,0.019540928304195404
416,10,0.040208153426647186
417,10,0.03521309047937393
418,10,0.024449007585644722
419,10,0.022560302168130875
420,10,0.1678270399570465
421,10,0.02938239276409149
422,10,0.02680453471839428
423,10,0.18830063939094543
424,10,0.014024483039975166
425,10,0.021224796772003174
426,10,0.014783404767513275
427,10,0.0339481495320797
428,10,0.020661642774939537
429,10,0.020564299076795578
430,10,0.024100370705127716
431,10,0.18152901530265808
432,10,0.16472265124320984
433,10,0.03807457536458969
434,10,0.1685287058353424
435,10,0.19415050745010376
436,10,0.033165737986564636
437,10,0.19408416748046875
438,10,0.4823392331600189
439,10,0.16028381884098053
440,10,0.02583867870271206
441,10,0.02821054495871067
442,10,0.01316181942820549
443,10,0.028010789304971695
444,10,0.34617820382118225
445,10,0.02286316268146038
446,10,0.016922209411859512
447,10,0.011123239062726498
448,10,0.04006754234433174
449,10,0.16964267194271088
450,10,0.1691514402627945
451,10,0.17723087966442108
452,10,0.201518252491951
453,10,0.18559642136096954
454,10,0.012696961872279644
455,10,0.018195409327745438
456,10,0.1732984334230423
457,10,0.015036589466035366
458,10,0.1806863695383072
459,10,0.022998947650194168
460,10,0.19492313265800476
461,10,0.010305461473762989
462,10,0.01590345986187458
463,10,0.029959531500935555
464,10,0.1734953671693802
465,10,0.018436716869473457
466,10,0.029164671897888184
467,10,0.02783709391951561
468,10,0.020586587488651276
469,10,0.012150327675044537
470,10,0.01687842793762684
471,10,0.32832133769989014
472,10,0.031137222424149513
473,10,0.015758397057652473
474,10,0.019759472459554672
475,10,0.012884434312582016
476,10,0.17883378267288208
477,10,0.022272061556577682
478,10,0.03556757792830467
479,10,0.011588281951844692
480,10,0.025744512677192688
481,10,0.17630238831043243
482,10,0.17360049486160278
483,10,0.02710614912211895
484,10,0.027952522039413452
485,10,0.023905238136649132
486,10,0.018589569255709648
487,10,0.01684391312301159
488,10,0.017411760985851288
489,10,0.18920768797397614
490,10,0.021347010508179665
491,10,0.023173801600933075
492,10,0.03137795254588127
493,10,0.02505592256784439
494,10,0.01381292287260294
495,10,0.019093850627541542
496,10,0.011587174609303474
497,10,0.18766525387763977
498,10,0.028531571850180626
499,10,0.02773064374923706
500,10,0.019835490733385086
501,10,0.2118716686964035
502,10,0.1421404778957367
503,10,0.09661070257425308
504,10,0.07506537437438965
505,10,0.0774020403623581
506,10,0.20644482970237732
507,10,0.031616441905498505
508,10,0.04246344417333603
509,11,0.09563243389129639
510,11,0.4184850752353668
511,11,0.5437273979187012
512,11,0.2434142529964447
513,11,0.03913726657629013
514,11,0.011532041244208813
515,11,0.18281471729278564
516,11,0.04613389074802399
517,11,0.052143242210149765
518,11,0.049980394542217255
519,11,0.203872412443161
520,11,0.05064723640680313
521,11,0.04535051807761192
522,11,0.02775360271334648
523,11,0.34581342339515686
524,11,0.33817529678344727
525,11,0.20222511887550354
526,11,0.21017596125602722
527,11,0.045714110136032104
528,11,0.021879732608795166
529,11,0.04346150532364845
530,11,0.02613695152103901
531,11,0.029409509152173996
532,11,0.03315490111708641
533,11,0.0076960730366408825
534,11,0.017807573080062866
535,11,0.3298685848712921
536,11,0.18709293007850647
537,11,0.012872201390564442
538,11,0.0270606130361557
539,11,0.01710011251270771
540,11,0.023367661982774734
541,11,0.028957825154066086
542,11,0.016379181295633316
543,11,0.004031701013445854
544,11,0.0023762895725667477
545,11,0.15912465751171112
546,11,0.1903342306613922
547,11,0.18040771782398224
548,11,0.025298161432147026
549,11,0.018749883398413658
550,11,0.021991625428199768
551,11,0.03270699083805084
552,11,0.024449963122606277
553,11,0.002854377031326294
554,11,0.012548945844173431
555,11,0.028711507096886635
556,11,0.1666121631860733
557,11,0.023646460846066475
558,11,0.02492247149348259
559,11,0.17758652567863464
560,11,0.05147064849734306
561,11,0.004762935917824507
562,11,0.018440289422869682
563,11,0.012640338391065598
564,11,0.0235432181507349
565,11,0.337318480014801
566,11,0.19624164700508118
567,11,0.023055152967572212
568,11,0.1733674556016922
569,11,0.1779026985168457
570,11,0.01743345335125923
571,11,0.03638738393783569
572,11,0.014557141810655594
573,11,0.15797238051891327
574,11,0.1588551104068756
575,11,0.010780609212815762
576,11,0.02385525591671467
577,11,0.016547013074159622
578,11,0.01607227511703968
579,11,0.014357935637235641
580,11,0.01390899159014225
581,11,0.010081841610372066
582,11,0.02425168827176094
583,11,0.17417825758457184
584,11,0.009464303962886333
585,11,0.017536316066980362
586,11,0.033186327666044235
587,11,0.18595090508460999
588,11,0.01891392469406128
589,11,0.015892427414655685
590,11,0.008823355659842491
591,11,0.011426975950598717
592,11,0.17294755578041077
593,11,0.022925814613699913
594,11,0.009838053956627846
595,11,0.1615397185087204
596,11,0.025447148829698563
597,11,0.011573453433811665
598,11,0.1789596676826477
599,11,0.0284004844725132
600,11,0.17219151556491852
601,11,0.024381782859563828
602,11,0.02564096637070179
603,11,0.029120931401848793
604,11,0.018139269202947617
605,11,0.014469696208834648
606,11,0.018233539536595345
607,11,0.024567682296037674
608,11,0.022463234141469002
609,11,0.02566913142800331
610,11,0.022381242364645004
611,11,0.023875312879681587
612,11,0.02168290875852108
613,11,0.01875026896595955
614,11,0.015414808876812458
615,11,0.02170228585600853
616,11,0.026065386831760406
617,11,0.015856914222240448
618,11,0.19853520393371582
619,11,0.012655272148549557
620,11,0.015428811311721802
621,11,0.01832970790565014
622,11,0.0192260704934597
623,11,0.026151685044169426
624,11,0.017008882015943527
625,11,0.028292706236243248
626,11,0.18609845638275146
627,11,0.012126848101615906
628,11,0.17362749576568604
629,11,0.013637973926961422
630,11,0.1517852544784546
631,11,0.03719732537865639
632,11,0.024237867444753647
633,11,0.17048294842243195
634,11,0.0226296316832304
635,11,0.16622084379196167
636,11,0.014261199161410332
637,11,0.017391130328178406
638,11,0.165730819106102
639,11,0.016482610255479813
640,11,0.008552673272788525
641,11,0.0289160069078207
642,11,0.02279062569141388
643,11,0.02216273732483387
644,11,0.027610445395112038
645,11,0.006644116714596748
646,11,0.03010956384241581
647,11,0.1679764837026596
648,11,0.004857707303017378
649,11,0.004967430606484413
650,11,0.17224851250648499
651,11,0.020624559372663498
652,11,0.010967234149575233
653,11,0.009975583292543888
654,11,0.013181226328015327
655,11,0.016449512913823128
656,11,0.16825804114341736
657,11,0.031423550099134445
658,11,0.014325181022286415
659,12,0.012920578941702843
660,12,0.020860200747847557
661,12,0.17875532805919647
662,12,0.17727601528167725
663,12,0.16429412364959717
664,12,0.02488544024527073
665,12,0.012901624664664268
666,12,0.018901830539107323
667,12,0.019047953188419342
668,12,0.016474956646561623
669,12,0.16965891420841217
670,12,0.015552817843854427
671,12,0.016225134953856468
672,12,0.02229265309870243
673,12,0.020066093653440475
674,12,0.1545412391424179
675,12,0.18422697484493256
676,12,0.02920686826109886
677,12,0.18520526587963104
678,12,0.020004011690616608
679,12,0.01635776087641716
680,12,0.017788469791412354
681,12,0.014399499632418156
682,12,0.162464901804924
683,12,0.011842356063425541
684,12,0.009420487098395824
685,12,0.008469058200716972
686,12,0.019460855051875114
687,12,0.019603747874498367
688,12,0.16025689244270325
689,12,0.01082882471382618
690,12,0.1707295924425125
691,12,0.019325939938426018
692,12,0.016057176515460014
693,12,0.0047287968918681145
694,12,0.019263511523604393
695,12,0.17054180800914764
696,12,0.010131190530955791
697,12,0.010535573586821556
698,12,0.014125615358352661
699,12,0.034737080335617065
700,12,0.023845741525292397
701,12,0.17098170518875122
702,12,0.00810131337493658
703,12,0.011532241478562355
704,12,0.01044852752238512
705,12,0.030481433495879173
706,12,0.0217282697558403
707,12,0.1570412665605545
708,12,0.16505660116672516
709,12,0.017237821593880653
710,12,0.018074559047818184
711,12,0.023755550384521484
712,12,0.01723187230527401
713,12,0.1771039515733719
714,12,0.18369801342487335
715,12,0.017627570778131485
716,12,0.16885292530059814
717,12,0.017643412575125694
718,12,0.008939302526414394
719,12,0.012414084747433662
720,12,0.008597454987466335
721,12,0.1733156144618988
722,12,0.010621133260428905
723,12,0.17456462979316711
724,12,0.02435917966067791
725,12,0.014851025305688381
726,12,0.021305309608578682
727,12,0.016661131754517555
728,12,0.013149851001799107
729,12,0.016792908310890198
730,12,0.1549185961484909
