goal_angle,episodes,successes,success_rate,mean_reward,mean_episode_length,mean_final_absolute_error,mean_hold_actions,mean_action_changes
-0.8,5,5,1.0,10.727137577476606,23.0,0.006658946267430688,1.0,8.0
-0.4,5,5,1.0,15.429348272783681,17.0,0.002689136387770019,3.0,6.0
0.4,5,5,1.0,15.279216479184106,17.0,0.024366109008021497,1.0,7.0
0.8,5,5,1.0,10.916295232321135,22.0,0.02060195865549641,4.0,4.0
