policy,goal_angle,episode_within_goal,seed,success,cumulative_reward,episode_length,final_absolute_error,final_angle,terminated,truncated,decrease_actions,hold_actions,increase_actions,action_changes
config_b,-0.8,1,18020,True,10.727137577476606,23,0.006658946267430688,-0.7933410537325694,True,False,16,1,6,8
config_b,-0.8,2,18021,True,10.727137577476606,23,0.006658946267430688,-0.7933410537325694,True,False,16,1,6,8
config_b,-0.8,3,18022,True,10.727137577476606,23,0.006658946267430688,-0.7933410537325694,True,False,16,1,6,8
config_b,-0.8,4,18023,True,10.727137577476606,23,0.006658946267430688,-0.7933410537325694,True,False,16,1,6,8
config_b,-0.8,5,18024,True,10.727137577476606,23,0.006658946267430688,-0.7933410537325694,True,False,16,1,6,8
config_b,-0.4,1,18120,True,15.429348272783681,17,0.002689136387770019,-0.40268913638777004,True,False,10,3,4,6
config_b,-0.4,2,18121,True,15.429348272783681,17,0.002689136387770019,-0.40268913638777004,True,False,10,3,4,6
config_b,-0.4,3,18122,True,15.429348272783681,17,0.002689136387770019,-0.40268913638777004,True,False,10,3,4,6
config_b,-0.4,4,18123,True,15.429348272783681,17,0.002689136387770019,-0.40268913638777004,True,False,10,3,4,6
config_b,-0.4,5,18124,True,15.429348272783681,17,0.002689136387770019,-0.40268913638777004,True,False,10,3,4,6
config_b,0.4,1,18220,True,15.279216479184106,17,0.024366109008021497,0.3756338909919785,True,False,6,1,10,7
config_b,0.4,2,18221,True,15.279216479184106,17,0.024366109008021497,0.3756338909919785,True,False,6,1,10,7
config_b,0.4,3,18222,True,15.279216479184106,17,0.024366109008021497,0.3756338909919785,True,False,6,1,10,7
config_b,0.4,4,18223,True,15.279216479184106,17,0.024366109008021497,0.3756338909919785,True,False,6,1,10,7
config_b,0.4,5,18224,True,15.279216479184106,17,0.024366109008021497,0.3756338909919785,True,False,6,1,10,7
config_b,0.8,1,18320,True,10.916295232321135,22,0.02060195865549641,0.8206019586554965,True,False,4,4,14,4
config_b,0.8,2,18321,True,10.916295232321135,22,0.02060195865549641,0.8206019586554965,True,False,4,4,14,4
config_b,0.8,3,18322,True,10.916295232321135,22,0.02060195865549641,0.8206019586554965,True,False,4,4,14,4
config_b,0.8,4,18323,True,10.916295232321135,22,0.02060195865549641,0.8206019586554965,True,False,4,4,14,4
config_b,0.8,5,18324,True,10.916295232321135,22,0.02060195865549641,0.8206019586554965,True,False,4,4,14,4
