configuration,episode,goal_angle,cumulative_reward,success,episode_length,final_absolute_error,epsilon_used,epsilon_after_decay,mean_loss,replay_size,optimization_steps,episode_wall_clock_seconds,cumulative_wall_clock_seconds,terminated,truncated
config_a,1,0.2825395868172176,-125.7947279959917,False,150,1.1806501121507749,1.0,0.995,,150,0,0.28886144899979627,0.28890208999973765,False,True
config_a,2,-0.5670638717221037,-55.227648451132694,False,150,0.21425748038779202,0.995,0.990025,,300,0,0.28538850300037666,0.5755748499996116,False,True
config_a,3,-0.4439785767418311,-108.17631840705872,False,150,1.1586284987205029,0.990025,0.985074875,,450,0,0.2805547870002556,0.8561360969997622,False,True
config_a,4,0.3143637356043312,-78.64453658461571,False,150,0.4411473815276981,0.985074875,0.9801495006250001,0.02519997364972801,600,101,0.3823038819996327,1.238341533000039,False,True
config_a,5,0.1487023394431196,-131.97830446064472,False,150,0.8836085509569642,0.9801495006250001,0.9752487531218751,0.004626675844677569,750,251,0.44033293800021056,1.678732157000013,False,True
config_a,6,-0.43734299868543225,-25.22684338875114,True,111,0.015632469496124346,0.9752487531218751,0.9703725093562657,0.013756054722172258,861,362,0.3321810459997323,2.0108779509996566,True,False
config_a,7,-0.35933952624810694,-53.45106380134821,False,150,0.8152450525689159,0.9703725093562657,0.9655206468094844,0.02016831051480646,1011,512,0.4421079640001153,2.4529324139998607,False,True
config_a,8,-0.6752556038969942,-93.95064379004761,False,150,0.05210155257305915,0.9655206468094844,0.960693043575437,0.017017645389423706,1161,662,0.44602177299975665,2.899053535999883,False,True
config_a,9,-0.0025225670898392227,-69.72300113239325,False,150,0.24643406838139606,0.960693043575437,0.9558895783575597,0.02400191401170256,1311,812,0.4303993499997887,3.3294554389999576,False,True
config_a,10,0.2209207620258753,-19.958164087124167,False,150,0.4040661807722503,0.9558895783575597,0.9511101304657719,0.020723346893986066,1461,962,0.4255004649999137,3.754959299999882,False,True
config_a,11,0.30019662480847953,-26.194189978856596,False,150,0.4090487321230837,0.9511101304657719,0.946354579813443,0.02203065524925478,1611,1112,0.4268319329999031,4.181791963999785,False,True
config_a,12,-0.5721356003397541,-34.6623305679299,False,150,0.37017010145070817,0.946354579813443,0.9416228069143757,0.013694203599200894,1761,1262,0.43073453699980746,4.612527011999646,False,True
config_a,13,-0.24911341327952408,-71.34200885891914,False,150,0.4024120162351028,0.9416228069143757,0.9369146928798039,0.015584000349820902,1911,1412,0.4283604729998842,5.040890458999911,False,True
config_a,14,-0.5923313369919598,-41.87838422732894,False,150,0.5735863905794252,0.9369146928798039,0.9322301194154049,0.015911703953364244,2061,1562,0.43040526900040277,5.471298370999648,False,True
config_a,15,-0.0910043705343,-49.14409578929188,True,143,0.029493952081477974,0.9322301194154049,0.9275689688183278,0.015549162943306919,2204,1705,0.4073707690004085,5.878668129999824,True,False
config_a,16,-0.5211148741827851,-62.246484479168416,True,145,0.009499615216924773,0.9275689688183278,0.9229311239742362,0.02431749937220894,2349,1850,0.4124441320000187,6.291113953999684,True,False
config_a,17,-0.3109303372948684,-47.06576696485281,False,150,0.4202742143719598,0.9229311239742362,0.918316468354365,0.022972542794110873,2499,2000,0.4282156469998881,6.719331583999974,False,True
config_a,18,0.3929539928533785,-0.10536416184623221,True,62,0.017928810847156695,0.918316468354365,0.9137248860125932,0.03256331736432208,2561,2062,0.17632858300021326,6.895666515999892,True,False
config_a,19,-0.4403305186691821,-44.85291264262051,False,150,0.1347060068921374,0.9137248860125932,0.9091562615825302,0.029677484712253014,2711,2212,0.4723912439999367,7.368054305999976,False,True
config_a,20,0.5695238975449919,-105.26547199487686,False,150,0.5818914620580063,0.9091562615825302,0.9046104802746175,0.02425548991498848,2861,2362,0.43004748700013806,7.798100961999808,False,True
config_a,21,-0.7963080067314675,-73.96309081092475,False,150,0.04871090111420329,0.9046104802746175,0.9000874278732445,0.020859449980780483,3011,2512,0.4590738929996405,8.257178629999999,False,True
