optimization_step,episode,loss
1,4,0.1791449636220932
2,4,0.1706458330154419
3,4,0.11172395199537277
4,4,0.12439732998609543
5,4,0.12225335836410522
6,4,0.11109264194965363
7,4,0.09168514609336853
8,4,0.08640788495540619
9,4,0.07239077240228653
10,4,0.055367361754179
11,4,0.06270712614059448
12,4,0.04887932538986206
13,4,0.04500313848257065
14,4,0.049478817731142044
15,4,0.044235777109861374
16,4,0.039881471544504166
17,4,0.052542369812726974
18,4,0.05239347368478775
19,4,0.06694385409355164
20,4,0.02960534766316414
21,4,0.026943963021039963
22,4,0.03975902125239372
23,4,0.02893650159239769
24,4,0.020635047927498817
25,4,0.023541681468486786
26,4,0.020297091454267502
27,4,0.022385194897651672
28,4,0.024560347199440002
29,4,0.013856176286935806
30,4,0.03175602853298187
31,4,0.02907681278884411
32,4,0.014904353767633438
33,4,0.013188224285840988
34,4,0.03508179634809494
35,4,0.03876559063792229
36,4,0.03319375216960907
37,4,0.025921665132045746
38,4,0.012546750716865063
39,4,0.02120509371161461
40,4,0.023327399045228958
41,4,0.020401334390044212
42,4,0.020400909706950188
43,4,0.009051486849784851
44,4,0.006564538460224867
45,4,0.006297411397099495
46,4,0.016882671043276787
47,4,0.014521908946335316
48,4,0.006772629451006651
49,4,0.01578959822654724
50,4,0.015563937835395336
51,4,0.004329173360019922
52,4,0.0342743918299675
53,4,0.013737390749156475
54,4,0.004887955263257027
55,4,0.0026099281385540962
56,4,0.0028746058233082294
57,4,0.013599947094917297
58,4,0.0030187503434717655
59,4,0.013306966982781887
60,4,0.011398437432944775
61,4,0.004021422937512398
62,4,0.0018997832667082548
63,4,0.012729443609714508
64,4,0.001435469719581306
65,4,0.011480350978672504
66,4,0.002982203382998705
67,4,0.0011081502307206392
68,4,0.001970623852685094
69,4,0.0019731491338461637
70,4,0.011235457845032215
71,4,0.0010617519728839397
72,4,0.010861431248486042
73,4,0.001803777413442731
74,4,0.0008580379653722048
75,4,0.0016720556886866689
76,4,0.0018112558173015714
77,4,0.001448505325242877
78,4,0.0012819106923416257
79,4,0.0011881381506100297
80,4,0.0013448838144540787
81,4,0.010420811362564564
82,4,0.009933648630976677
83,4,0.0013840676983818412
84,4,0.0013061611680313945
85,4,0.009400028735399246
86,4,0.0011160693829879165
87,4,0.0017204490723088384
88,4,0.0010798638686537743
89,4,0.009301596321165562
90,4,0.009601864963769913
91,4,0.009773600846529007
92,4,0.009494154714047909
93,4,0.0009268547291867435
94,4,0.009863398037850857
95,4,0.0011242831824347377
96,4,0.01757998950779438
97,4,0.0012762527912855148
98,4,0.0013481085188686848
99,4,0.00966614205390215
