policy,goal_angle,episode_within_goal,seed,success,cumulative_reward,episode_length,final_absolute_error,final_angle,terminated,truncated,decrease_actions,hold_actions,increase_actions,action_changes
rule_based,-0.8,1,18020,True,10.521527701057494,27,0.012328092101017596,-0.7876719078989824,True,False,10,17,0,1
rule_based,-0.8,2,18021,True,10.521527701057494,27,0.012328092101017596,-0.7876719078989824,True,False,10,17,0,1
rule_based,-0.8,3,18022,True,10.521527701057494,27,0.012328092101017596,-0.7876719078989824,True,False,10,17,0,1
rule_based,-0.8,4,18023,True,10.521527701057494,27,0.012328092101017596,-0.7876719078989824,True,False,10,17,0,1
rule_based,-0.8,5,18024,True,10.521527701057494,27,0.012328092101017596,-0.7876719078989824,True,False,10,17,0,1
rule_based,-0.4,1,18120,True,15.21405668091029,21,0.013217009087764853,-0.38678299091223517,True,False,5,16,0,1
rule_based,-0.4,2,18121,True,15.21405668091029,21,0.013217009087764853,-0.38678299091223517,True,False,5,16,0,1
rule_based,-0.4,3,18122,True,15.21405668091029,21,0.013217009087764853,-0.38678299091223517,True,False,5,16,0,1
rule_based,-0.4,4,18123,True,15.21405668091029,21,0.013217009087764853,-0.38678299091223517,True,False,5,16,0,1
rule_based,-0.4,5,18124,True,15.21405668091029,21,0.013217009087764853,-0.38678299091223517,True,False,5,16,0,1
rule_based,0.4,1,18220,True,15.211074960418046,21,0.012719840750495037,0.387280159249505,True,False,0,16,5,1
rule_based,0.4,2,18221,True,15.211074960418046,21,0.012719840750495037,0.387280159249505,True,False,0,16,5,1
rule_based,0.4,3,18222,True,15.211074960418046,21,0.012719840750495037,0.387280159249505,True,False,0,16,5,1
rule_based,0.4,4,18223,True,15.211074960418046,21,0.012719840750495037,0.387280159249505,True,False,0,16,5,1
rule_based,0.4,5,18224,True,15.211074960418046,21,0.012719840750495037,0.387280159249505,True,False,0,16,5,1
rule_based,0.8,1,18320,True,10.519856926985085,27,0.0105712357298271,0.789428764270173,True,False,0,17,10,1
rule_based,0.8,2,18321,True,10.519856926985085,27,0.0105712357298271,0.789428764270173,True,False,0,17,10,1
rule_based,0.8,3,18322,True,10.519856926985085,27,0.0105712357298271,0.789428764270173,True,False,0,17,10,1
rule_based,0.8,4,18323,True,10.519856926985085,27,0.0105712357298271,0.789428764270173,True,False,0,17,10,1
rule_based,0.8,5,18324,True,10.519856926985085,27,0.0105712357298271,0.789428764270173,True,False,0,17,10,1
